| phase | self_exact | pgvector_exact | pgvector_hnsw | sqlite_vec_exact | qdrant_exact | qdrant_hnsw | lancedb_exact | lancedb_hnsw | mysql_exact |
|---|---|---|---|---|---|---|---|---|---|
| vector_knn | 677 / 745 | 3854 / 5934 | 3804 / 4019 | 3914 / 4325 | 596 / 774 | 750 / 995 | 8520 / 14130 | 2348 / 2982 | n/a |
| vector_knn_where | 1953 / 2044 | 2072 / 2146 | 2135 / 2253 | 3933 / 4242 | 657 / 749 | 675 / 974 | 7698 / 8757 | 3417 / 4269 | n/a |
| point_where | 1953 / 2044 | 2072 / 2146 | 2135 / 2253 | 3933 / 4242 | 657 / 749 | 675 / 974 | 7698 / 8757 | 3417 / 4269 | n/a |
| where_compound_count | 1020 / 1080 | 1547 / 1696 | 1563 / 1614 | 1955 / 2001 | 7833 / 8251 | 7385 / 8036 | 856 / 1177 | 896 / 1073 | 3105 / 3222 |
| agg_count | 82 / 87 | 1669 / 1817 | 1638 / 1714 | 1585 / 1623 | 1907 / 2476 | 1385 / 1706 | 603 / 855 | 675 / 818 | 1787 / 1820 |
| agg_multi | 322 / 332 | 1941 / 1996 | 2027 / 2100 | 2828 / 2934 | n/a | n/a | 7408 / 9728 | 6599 / 9102 | 2520 / 2548 |
| group_by_having | 1651 / 1740 | 2927 / 3050 | 2876 / 3131 | 3704 / 3754 | n/a | n/a | 8345 / 11260 | 8318 / 11597 | 16527 / 17216 |
| hybrid_rrf | 7092 / 8720 | 4825 / 5295 | 5011 / 5364 | 5581 / 6357 | n/a | n/a | 9508 / 12272 | 3765 / 4213 | n/a |
| mode_recall | 712 / 786 | n/a | n/a | n/a | n/a | n/a | n/a | n/a | n/a |
| mode_precision | 726 / 819 | n/a | n/a | n/a | n/a | n/a | n/a | n/a | n/a |
| bulk_knn_k200 | 945 / 1022 | 4663 / 5061 | 4769 / 5142 | 7414 / 13628 | 3088 / 3391 | 3324 / 5522 | 9865 / 11554 | 3401 / 3900 | n/a |
| bulk_knn_k1000 | 1698 / 2335 | 5131 / 5517 | 5261 / 5527 | 31636 / 47870 | 12748 / 16357 | 12546 / 16680 | 12718 / 14507 | 5310 / 6609 | n/a |
| bulk_knn_where_k200 | 3287 / 3456 | 2500 / 2778 | 2477 / 2798 | 15847 / 16180 | 3068 / 3483 | 3113 / 5267 | 9078 / 10976 | 4592 / 5615 | n/a |
| bulk_hybrid_k200 | 9770 / 10684 | 5334 / 5863 | 5459 / 5723 | 8868 / 13839 | n/a | n/a | 10784 / 12424 | 5209 / 6088 | n/a |
| scan_where_nosort_k500 | 463 / 475 | 992 / 1036 | 924 / 987 | 247 / 258 | 5000 / 8632 | 4607 / 8187 | 2284 / 2629 | 2286 / 2652 | 904 / 1029 |
| rls_isolation | 83 / 89 | 1701 / 1839 | 1642 / 1689 | 1649 / 1697 | 1935 / 2516 | 1433 / 1820 | 608 / 726 | 780 / 878 | 1783 / 1829 |
| udf_call | 723 / 1068 | n/a | n/a | n/a | n/a | n/a | n/a | n/a | n/a |
| explain | n/a | 98 / 104 | 100 / 122 | 4 / 4 | n/a | n/a | 1105 / 1605 | 464 / 561 | 167 / 183 |
| ingest_bulk | n/a | 0.47s (53129/s) | 0.49s (51360/s) | 0.29s (87640/s) | 2.01s (12457/s) | 2.07s (12083/s) | 0.14s (176347/s) | 0.13s (194940/s) | 1.58s (15827/s) |
| ingest_single_stmt | 0.49s (2025/s) | 0.60s (1662/s) | 1.28s (784/s) | 3.43s (292/s) | 0.93s (1077/s) | 1.68s (594/s) | 1.47s (678/s) | 1.48s (675/s) | 1.42s (702/s) |
| recall_at_10 | {"recall_at_10": 1.0, "recall_at_10_stri | {"recall_at_10": 1.0, "recall_at_10_stri | {"recall_at_10": 1.0, "recall_at_10_stri | {"recall_at_10": 1.0, "recall_at_10_stri | {"recall_at_10": 1.0, "recall_at_10_stri | {"recall_at_10": 1.0, "recall_at_10_stri | {"recall_at_10": 1.0, "recall_at_10_stri | {"recall_at_10": 0.8395, "recall_at_10_s | n/a |
| index_build | n/a | n/a | n/a | n/a | n/a | {"seconds": 0.5056486619869247, "final_s | n/a | n/a | n/a |
| _ann_index_note | n/a | n/a | n/a | n/a | n/a | n/a | n/a | n/a | "CREATE VECTOR INDEX \u306f\u69cb\u6587\ |
