side	pair	kind	working_set	dim	rows	value_ms	ns_per_dot	ratio	status
before	1	current	cache_resident	100	163	0.178	5.47		ok
before	1	current	cache_resident	128	128	0.150	5.87		ok
before	1	current	cache_resident	384	42	0.157	18.74		ok
before	1	current	cache_resident	768	21	0.190	45.27		ok
before	1	current	cache_resident	1536	10	0.202	100.96		ok
before	1	current	arena_scale	100	25000	0.199	7.95		ok
before	1	current	arena_scale	128	25000	0.264	10.56		ok
before	1	current	arena_scale	384	25000	1.292	51.68		ok
before	1	current	arena_scale	768	25000	3.179	127.15		ok
before	1	current	arena_scale	1536	25000	6.753	270.11		ok
before	1	block_single	cache_resident	128		0.134			ok
before	1	block4	cache_resident	128		0.123		0.924	ok
before	1	block_single	cache_resident	768		0.179			ok
before	1	block4	cache_resident	768		0.107		0.597	ok
before	1	block_single	arena_scale	128		0.209			ok
before	1	block4	arena_scale	128		0.207		0.991	ok
before	1	block_single	arena_scale	768		3.188			ok
before	1	block4	arena_scale	768		2.626		0.824	ok
before	1	block_ref	cache_resident	128		0.140		0.0495	ok
before	1	block_ref	cache_resident	768		0.180		0.0388	ok
before	1	block_ref	arena_scale	128		0.215		0.1935	ok
before	1	block_ref	arena_scale	768		3.194		0.1416	ok
after	1	current	cache_resident	100	163	0.180	5.52		ok
after	1	current	cache_resident	128	128	0.146	5.69		ok
after	1	current	cache_resident	384	42	0.152	18.12		ok
after	1	current	cache_resident	768	21	0.121	28.81		ok
after	1	current	cache_resident	1536	10	0.111	55.73		ok
after	1	current	arena_scale	100	25000	0.171	6.84		ok
after	1	current	arena_scale	128	25000	0.228	9.10		ok
after	1	current	arena_scale	384	25000	1.315	52.60		ok
after	1	current	arena_scale	768	25000	2.958	118.30		ok
after	1	current	arena_scale	1536	25000	6.035	241.39		ok
after	1	block_single	cache_resident	128		0.133			ok
after	1	block4	cache_resident	128		0.124		0.935	ok
after	1	block_single	cache_resident	768		0.115			ok
after	1	block4	cache_resident	768		0.116		1.008	ok
after	1	block_single	arena_scale	128		0.202			ok
after	1	block4	arena_scale	128		0.204		1.009	ok
after	1	block_single	arena_scale	768		2.970			ok
after	1	block4	arena_scale	768		2.953		0.994	ok
after	1	block_ref	cache_resident	128		0.146		0.0969	ok
after	1	block_ref	cache_resident	768		0.115		0.0634	ok
after	1	block_ref	arena_scale	128		0.211		0.1754	ok
after	1	block_ref	arena_scale	768		2.940		0.0643	ok
before	1c0	current	cache_resident	100	163	0.176	5.39		ok
before	1c0	current	cache_resident	128	128	0.140	5.46		ok
before	1c0	current	cache_resident	384	42	0.151	18.02		ok
before	1c0	current	cache_resident	768	21	0.186	44.31		ok
before	1c0	current	cache_resident	1536	10	0.200	100.05		ok
before	1c0	current	arena_scale	100	25000	0.165	6.61		ok
before	1c0	current	arena_scale	128	25000	0.230	9.18		ok
before	1c0	current	arena_scale	384	25000	1.315	52.59		ok
before	1c0	current	arena_scale	768	25000	3.185	127.41		ok
before	1c0	current	arena_scale	1536	25000	6.591	263.63		ok
before	1c0	block_single	cache_resident	128		0.134			ok
