point	side	pair	cpu_p50	cpu_p95	f16_p50	f16_p95	f32_p50	f32_p95	mismatch	line
20000:128:8	before	1	5120	5145	755	796	707	722	1	measured
20000:128:8	after	1	5418	5444	529	536	692	699	1	measured
20000:128:8	before	2	5059	5085	743	792	742	753	1	measured
20000:128:8	after	2	5483	5572	536	542	698	712	1	measured
20000:128:8	before	3	5004	5035	740	772	743	753	1	measured
20000:128:8	after	3	5474	5542	535	544	696	700	1	measured
20000:128:8	before	4	5083	5309	692	703	689	705	1	measured
20000:128:8	after	4	5444	5514	531	536	698	709	1	measured
20000:128:8	before	5	4992	5008	698	736	694	706	1	measured
20000:128:8	after	5	5444	5473	692	703	695	701	1	measured
20000:128:64	before	1	16671	16743	5135	5180	5267	5328	1	measured
20000:128:64	after	1	16928	16976	3657	3689	4666	4736	1	measured
20000:128:64	before	2	16635	16669	5692	5892	5762	5787	1	measured
20000:128:64	after	2	17051	17148	3709	3721	5040	5111	1	measured
20000:128:64	before	3	16568	16631	5768	6216	5724	5777	1	measured
20000:128:64	after	3	16977	17498	3702	3871	4793	5014	1	measured
20000:128:64	before	4	16724	17098	5597	5625	5776	5811	1	measured
20000:128:64	after	4	17010	17080	3704	3716	4692	4829	1	measured
20000:128:64	before	5	16304	16373	5432	5471	5571	5601	1	measured
20000:128:64	after	5	16808	16859	3698	3727	4678	4984	1	measured
100000:128:1	before	1	19596	20299	1403	1463	2408	2469	0	measured
100000:128:1	after	1	21407	21732	1212	1286	2073	2140	0	measured
100000:128:1	before	2	18699	18951	1502	1536	2473	2535	0	measured
100000:128:1	after	2	21985	22243	1224	1301	2093	2158	0	measured
100000:128:1	before	3	18781	18957	1396	1461	2370	2424	0	measured
100000:128:1	after	3	21253	21452	1323	1344	2152	2255	0	measured
100000:128:1	before	4	18829	18977	1372	1419	2337	2393	0	measured
100000:128:1	after	4	21155	21300	1372	1473	2106	2226	0	measured
100000:128:1	before	5	19560	19725	1455	1550	2433	2482	0	measured
100000:128:1	after	5	21711	21861	1231	1276	2110	2153	0	measured
100000:128:64	before	1	81273	83065	30876	32100	31178	31531	0	measured
100000:128:64	after	1	84283	84659	15714	15783	20745	20818	0	measured
100000:128:64	before	2	82794	83358	28666	30391	30009	31113	0	measured
100000:128:64	after	2	84706	86022	15829	15889	20674	20739	0	measured
100000:128:64	before	3	81173	81482	27868	28662	29493	29972	0	measured
100000:128:64	after	3	82745	83233	15804	16110	20759	20808	0	measured
100000:128:64	before	4	80736	80969	30814	31665	31480	31702	0	measured
100000:128:64	after	4	83999	92412	16146	16228	20817	21122	0	measured
100000:128:64	before	5	80639	80774	30665	31428	30950	31195	0	measured
100000:128:64	after	5	82925	83423	15787	15832	20990	21782	0	measured
500000:128:64	before	1	405641	406559	144060	146544	167477	170774	0	measured
500000:128:64	after	1	420202	472605	78478	79006	105545	203645	0	measured
500000:128:64	before	2	423281	866984	146705	149705	167816	229733	0	measured
500000:128:64	after	2	416895	524167	77974	80369	102234	103075	0	measured
500000:128:64	before	3	458483	605220	136420	139641	167143	194326	0	measured
500000:128:64	after	3	425375	437686	77849	78499	103879	108032	0	measured
500000:128:64	before	4	405480	411168	145044	145768	166765	170085	0	measured
500000:128:64	after	4	414951	415821	76512	77243	101932	102894	0	measured
500000:128:64	before	5	404455	405495	144145	148492	160182	170308	0	measured
500000:128:64	after	5	421676	422323	77702	79541	101896	102634	0	measured
100000:128:256	before	1	274278	274768	109066	112561	124479	128915	0	measured
100000:128:256	after	1	274781	275274	79163	106195	82911	83636	0	measured
100000:128:256	before	2	281281	282537	110710	113522	124221	125883	0	measured
100000:128:256	after	2	291025	291759	63323	64500	82700	83916	0	measured
100000:128:256	before	3	281635	282841	111181	113261	124509	126187	0	measured
100000:128:256	after	3	274783	278578	66232	84292	83346	97834	0	measured
100000:128:256	before	4	291487	757604	108774	112099	129207	184378	0	measured
100000:128:256	after	4	302869	387851	63048	64899	82812	83420	0	measured
100000:128:256	before	5	340233	680837	154294	289992	123059	128368	0	measured
100000:128:256	after	5	276650	283619	63959	76819	87996	97824	0	measured
