point	side	pair	cpu_p50	cpu_p95	f16_p50	f16_p95	f32_p50	f32_p95	mismatch	line	loadavg_1m	loadavg_5m	loadavg_15m
100000:128:64	before	1	83027	83226	80496	82778	149387	214066	0	measured	4.80	5.50	4.69
100000:128:64	after	1	82419	85676	32064	32785	31244	31776	0	measured	5.30	5.56	4.72
100000:128:64	before	2	83387	83504	80379	82273	148576	154935	0	measured	5.04	5.50	4.71
100000:128:64	after	2	82872	83241	29333	30070	30696	31217	0	measured	4.56	5.37	4.68
100000:128:64	before	3	84519	84918	80498	82616	149155	154781	0	measured	4.36	5.32	4.66
100000:128:64	after	3	83281	83775	31780	32144	32149	32469	0	measured	4.47	5.29	4.66
100000:128:64	before	4	83130	83539	82764	84209	149122	151666	0	measured	4.32	5.23	4.65
100000:128:64	after	4	82988	83349	31531	32115	30448	31054	0	measured	4.04	5.14	4.63
100000:128:64	before	5	82629	83809	81298	83585	156479	159157	0	measured	3.80	5.05	4.60
100000:128:64	after	5	83360	83741	31629	32562	30080	32621	0	measured	3.60	4.97	4.58
20000:128:8	before	1	5094	5240	1419	1461	1652	1825	1	measured	3.51	4.90	4.56
20000:128:8	after	1	5003	5062	673	678	669	676	1	measured	3.51	4.90	4.56
20000:128:8	before	2	5058	5081	1477	1518	1718	1736	1	measured	3.51	4.90	4.56
20000:128:8	after	2	5033	5118	737	827	733	742	1	measured	3.51	4.90	4.56
20000:128:8	before	3	5123	5154	1510	1702	1728	2094	1	measured	3.51	4.90	4.56
20000:128:8	after	3	5038	5096	718	843	682	691	1	measured	3.51	4.90	4.56
20000:128:8	before	4	5067	5093	1418	1463	1645	1705	1	measured	3.47	4.87	4.56
20000:128:8	after	4	5067	5123	720	726	719	723	1	measured	3.47	4.87	4.56
20000:128:8	before	5	5076	5181	1476	1517	1679	1808	1	measured	3.47	4.87	4.56
20000:128:8	after	5	5079	5140	724	789	681	689	1	measured	3.47	4.87	4.56
20000:128:64	before	1	16741	16859	11610	11722	13455	13572	1	measured	3.47	4.87	4.56
20000:128:64	after	1	16741	16967	5751	5861	5568	5600	1	measured	3.47	4.87	4.56
20000:128:64	before	2	16771	16821	11821	15082	13177	13841	1	measured	3.43	4.84	4.55
20000:128:64	after	2	16803	16833	5877	11766	5857	5976	1	measured	3.43	4.84	4.55
20000:128:64	before	3	16749	16952	17541	21044	21904	24317	1	measured	3.43	4.84	4.55
20000:128:64	after	3	16925	17013	6437	8664	5324	5334	1	measured	3.48	4.83	4.54
20000:128:64	before	4	16683	16783	12131	12275	13667	14111	1	measured	3.48	4.83	4.54
20000:128:64	after	4	17255	17442	7123	8904	7032	8531	1	measured	3.52	4.81	4.54
20000:128:64	before	5	17128	17296	17932	21973	13528	13863	1	measured	3.52	4.81	4.54
20000:128:64	after	5	16782	17032	6468	7419	6886	8554	1	measured	3.48	4.78	4.53
100000:128:1	before	1	18867	19002	1382	1430	2478	2511	0	measured	3.48	4.78	4.53
100000:128:1	after	1	18699	18924	1365	1415	2379	2421	0	measured	3.48	4.78	4.53
100000:128:1	before	2	19066	19474	1371	1385	2349	2378	0	measured	3.48	4.78	4.53
100000:128:1	after	2	18735	18903	1431	1479	2638	2958	0	measured	4.08	4.88	4.57
100000:128:1	before	3	19941	20064	1363	1412	2368	2428	0	measured	4.08	4.88	4.57
100000:128:1	after	3	18954	19748	1376	1452	2381	2478	0	measured	4.08	4.88	4.57
100000:128:1	before	4	19112	19949	1373	1404	2382	2440	0	measured	3.99	4.85	4.56
100000:128:1	after	4	18866	19095	1361	1416	2370	2421	0	measured	3.99	4.85	4.56
100000:128:1	before	5	18991	19162	1362	1410	2378	2411	0	measured	3.99	4.85	4.56
100000:128:1	after	5	18830	19326	1396	1461	2422	2475	0	measured	3.91	4.82	4.55
500000:128:64	before	1	412093	413093	437238	444266	643856	648519	0	measured	3.91	4.82	4.55
500000:128:64	after	1	414833	503165	144314	151356	165455	175720	0	measured	3.24	4.50	4.46
500000:128:64	before	2	443599	782898	450281	566512	658189	789915	0	measured	5.52	4.87	4.58
500000:128:64	after	2	416593	582259	184701	454081	167847	169986	0	measured	8.79	5.99	4.99
500000:128:64	before	3	410703	413307	440302	444921	648988	655565	0	measured	7.94	6.15	5.09
500000:128:64	after	3	413202	415588	138250	144158	166735	168750	0	measured	4.63	5.60	4.97
500000:128:64	before	4	414111	415676	440402	445877	640592	646837	0	measured	3.51	5.24	4.87
500000:128:64	after	4	413761	415660	134840	137537	165778	166964	0	measured	2.13	4.51	4.64
500000:128:64	before	5	420614	429549	435106	437659	650944	655779	0	measured	2.00	4.25	4.55
500000:128:64	after	5	411974	413721	140315	145789	157679	164934	0	measured	1.57	3.70	4.34
