scale	dim	engine	pair	s0_hot_ms	count_star_ms	loadavg	file
1	128	brute_force_beforehnswf16	1	0.627	0.054	7.91	hot_scale1_dim128_brute_force_beforehnswf16_pair1.log
1	128	brute_force_beforehnswf16	2	0.647	0.054	7.91	hot_scale1_dim128_brute_force_beforehnswf16_pair2.log
1	128	brute_force_beforehnswf16	3	0.676	0.054	7.91	hot_scale1_dim128_brute_force_beforehnswf16_pair3.log
1	128	brute_force_beforehnswf16	4	0.664	0.054	7.43	hot_scale1_dim128_brute_force_beforehnswf16_pair4.log
1	128	brute_force_beforehnswf16	5	0.643	0.054	7.43	hot_scale1_dim128_brute_force_beforehnswf16_pair5.log
1	128	hnsw_f16	1	0.417	0.054	7.91	hot_scale1_dim128_hnsw_f16_pair1.log
1	128	hnsw_f16	2	0.42	0.054	7.91	hot_scale1_dim128_hnsw_f16_pair2.log
1	128	hnsw_f16	3	0.424	0.054	7.91	hot_scale1_dim128_hnsw_f16_pair3.log
1	128	hnsw_f16	4	0.43	0.054	7.43	hot_scale1_dim128_hnsw_f16_pair4.log
1	128	hnsw_f16	5	0.425	0.054	7.43	hot_scale1_dim128_hnsw_f16_pair5.log
1	128	hnsw	1	0.438	0.054	7.91	hot_scale1_dim128_hnsw_pair1.log
1	128	hnsw	2	0.428	0.054	7.91	hot_scale1_dim128_hnsw_pair2.log
1	128	hnsw	3	0.447	0.054	7.91	hot_scale1_dim128_hnsw_pair3.log
1	128	hnsw	4	0.44	0.054	7.91	hot_scale1_dim128_hnsw_pair4.log
1	128	hnsw	5	0.435	0.054	7.43	hot_scale1_dim128_hnsw_pair5.log
1	768	brute_force_beforehnswf16	1	2.846	0.054	10.63	hot_scale1_dim768_brute_force_beforehnswf16_pair1.log
1	768	brute_force_beforehnswf16	2	3.154	0.054	11.76	hot_scale1_dim768_brute_force_beforehnswf16_pair2.log
1	768	brute_force_beforehnswf16	3	2.317	0.054	11.52	hot_scale1_dim768_brute_force_beforehnswf16_pair3.log
1	768	brute_force_beforehnswf16	4	2.15	0.054	11.09	hot_scale1_dim768_brute_force_beforehnswf16_pair4.log
1	768	brute_force_beforehnswf16	5	2.095	0.054	10.45	hot_scale1_dim768_brute_force_beforehnswf16_pair5.log
1	768	hnsw_f16	1	0.569	0.054	10.63	hot_scale1_dim768_hnsw_f16_pair1.log
1	768	hnsw_f16	2	0.577	0.054	11.76	hot_scale1_dim768_hnsw_f16_pair2.log
1	768	hnsw_f16	3	0.568	0.054	11.52	hot_scale1_dim768_hnsw_f16_pair3.log
1	768	hnsw_f16	4	0.581	0.054	11.09	hot_scale1_dim768_hnsw_f16_pair4.log
1	768	hnsw_f16	5	0.576	0.054	10.45	hot_scale1_dim768_hnsw_f16_pair5.log
1	768	hnsw	1	0.597	0.054	8.50	hot_scale1_dim768_hnsw_pair1.log
1	768	hnsw	2	0.581	0.054	12.26	hot_scale1_dim768_hnsw_pair2.log
1	768	hnsw	3	0.566	0.054	11.94	hot_scale1_dim768_hnsw_pair3.log
1	768	hnsw	4	0.637	0.054	10.84	hot_scale1_dim768_hnsw_pair4.log
1	768	hnsw	5	0.548	0.054	10.45	hot_scale1_dim768_hnsw_pair5.log
20	128	brute_force_beforehnsw	4	22.279	1.056	2.08	hot_scale20_dim128_brute_force_beforehnsw_pair4.log
20	128	brute_force_beforehnsw	5	21.178	1.056	6.55	hot_scale20_dim128_brute_force_beforehnsw_pair5.log
20	128	brute_force_beforehnswf16	1	21.763	1.056	8.55	hot_scale20_dim128_brute_force_beforehnswf16_pair1.log
20	128	brute_force_beforehnswf16	2	21.741	1.058	9.41	hot_scale20_dim128_brute_force_beforehnswf16_pair2.log
20	128	brute_force_beforehnswf16	3	22.217	1.055	9.28	hot_scale20_dim128_brute_force_beforehnswf16_pair3.log
20	128	brute_force_beforehnswf16	4	21.603	1.055	5.42	hot_scale20_dim128_brute_force_beforehnswf16_pair4.log
20	128	brute_force_beforehnswf16	5	33.53	1.074	8.19	hot_scale20_dim128_brute_force_beforehnswf16_pair5.log
20	128	hnsw_f16	1	11.897	1.058	8.55	hot_scale20_dim128_hnsw_f16_pair1.log
20	128	hnsw_f16	2	12.332	1.054	8.82	hot_scale20_dim128_hnsw_f16_pair2.log
20	128	hnsw_f16	3	12.356	1.055	9.28	hot_scale20_dim128_hnsw_f16_pair3.log
20	128	hnsw_f16	4	11.873	1.058	5.42	hot_scale20_dim128_hnsw_f16_pair4.log
20	128	hnsw_f16	5	11.978	1.054	8.19	hot_scale20_dim128_hnsw_f16_pair5.log
20	128	hnsw	1	11.852	1.053	8.05	hot_scale20_dim128_hnsw_pair1.log
20	128	hnsw	2	11.976	1.055	8.54	hot_scale20_dim128_hnsw_pair2.log
20	128	hnsw	3	12.106	1.056	9.03	hot_scale20_dim128_hnsw_pair3.log
20	128	hnsw	4	11.623	1.059	2.15	hot_scale20_dim128_hnsw_pair4.log
20	128	hnsw	5	11.629	1.053	6.55	hot_scale20_dim128_hnsw_pair5.log
4	128	brute_force_beforehnswf16	1	3.382	0.211	7.88	hot_scale4_dim128_brute_force_beforehnswf16_pair1.log
4	128	brute_force_beforehnswf16	2	3.422	0.212	7.41	hot_scale4_dim128_brute_force_beforehnswf16_pair2.log
4	128	brute_force_beforehnswf16	3	3.364	0.211	8.28	hot_scale4_dim128_brute_force_beforehnswf16_pair3.log
4	128	brute_force_beforehnswf16	4	3.479	0.211	7.77	hot_scale4_dim128_brute_force_beforehnswf16_pair4.log
4	128	brute_force_beforehnswf16	5	3.327	0.211	8.58	hot_scale4_dim128_brute_force_beforehnswf16_pair5.log
4	128	hnsw_f16	1	1.654	0.211	7.88	hot_scale4_dim128_hnsw_f16_pair1.log
4	128	hnsw_f16	2	1.649	0.211	7.41	hot_scale4_dim128_hnsw_f16_pair2.log
4	128	hnsw_f16	3	1.651	0.211	8.28	hot_scale4_dim128_hnsw_f16_pair3.log
4	128	hnsw_f16	4	1.656	0.213	7.77	hot_scale4_dim128_hnsw_f16_pair4.log
4	128	hnsw_f16	5	1.651	0.211	8.58	hot_scale4_dim128_hnsw_f16_pair5.log
4	128	hnsw	1	1.654	0.212	7.43	hot_scale4_dim128_hnsw_pair1.log
4	128	hnsw	2	1.654	0.212	7.41	hot_scale4_dim128_hnsw_pair2.log
4	128	hnsw	3	1.646	0.211	7.78	hot_scale4_dim128_hnsw_pair3.log
4	128	hnsw	4	1.653	0.211	7.77	hot_scale4_dim128_hnsw_pair4.log
4	128	hnsw	5	1.653	0.212	8.19	hot_scale4_dim128_hnsw_pair5.log
4	768	brute_force_beforehnswf16	1	10.241	0.212	10.82	hot_scale4_dim768_brute_force_beforehnswf16_pair1.log
4	768	brute_force_beforehnswf16	2	10.157	0.211	10.33	hot_scale4_dim768_brute_force_beforehnswf16_pair2.log
4	768	brute_force_beforehnswf16	3	11.572	0.217	10.80	hot_scale4_dim768_brute_force_beforehnswf16_pair3.log
4	768	brute_force_beforehnswf16	4	10.409	0.211	11.04	hot_scale4_dim768_brute_force_beforehnswf16_pair4.log
4	768	brute_force_beforehnswf16	5	10.07	0.211	10.31	hot_scale4_dim768_brute_force_beforehnswf16_pair5.log
4	768	hnsw_f16	1	1.803	0.211	10.82	hot_scale4_dim768_hnsw_f16_pair1.log
4	768	hnsw_f16	2	1.773	0.211	9.66	hot_scale4_dim768_hnsw_f16_pair2.log
4	768	hnsw_f16	3	1.802	0.211	10.17	hot_scale4_dim768_hnsw_f16_pair3.log
4	768	hnsw_f16	4	1.805	0.211	11.04	hot_scale4_dim768_hnsw_f16_pair4.log
4	768	hnsw_f16	5	1.81	0.211	9.64	hot_scale4_dim768_hnsw_f16_pair5.log
4	768	hnsw	1	1.786	0.213	10.65	hot_scale4_dim768_hnsw_pair1.log
4	768	hnsw	2	1.764	0.211	10.13	hot_scale4_dim768_hnsw_pair2.log
4	768	hnsw	3	1.8	0.211	9.92	hot_scale4_dim768_hnsw_pair3.log
4	768	hnsw	4	1.804	0.211	10.97	hot_scale4_dim768_hnsw_pair4.log
4	768	hnsw	5	1.865	0.211	10.19	hot_scale4_dim768_hnsw_pair5.log
