scale	dim	engine	rep	rows	requested	effective	approx_heap_bytes	vm_rss_before	vm_rss_after	vm_rss_delta	vm_hwm	file
1	128	hnsw_f16	1	25000	f16	f16	10826056	15716	33272	17556	53476	mem_scale1_dim128_hnsw_f16_rep1.log
1	128	hnsw_f16	2	25000	f16	f16	10826056	15716	33380	17664	53440	mem_scale1_dim128_hnsw_f16_rep2.log
1	128	hnsw	1	25000	f32	f32	17226056	15684	39544	23860	40732	mem_scale1_dim128_hnsw_rep1.log
1	128	hnsw	2	25000	f32	f32	17226056	15656	39432	23776	40836	mem_scale1_dim128_hnsw_rep2.log
1	768	hnsw_f16	1	25000	f16	f16	42826056	78196	126932	48736	240924	mem_scale1_dim768_hnsw_f16_rep1.log
1	768	hnsw_f16	2	25000	f16	f16	42826056	78068	126852	48784	240384	mem_scale1_dim768_hnsw_f16_rep2.log
1	768	hnsw	1	25000	f32	f32	81226056	78152	164500	86348	165416	mem_scale1_dim768_hnsw_rep1.log
1	768	hnsw	2	25000	f32	f32	81226056	78140	164364	86224	165808	mem_scale1_dim768_hnsw_rep2.log
20	128	hnsw_f16	1	500000	f16	f16	199741692	253204	557236	304032	951724	mem_scale20_dim128_hnsw_f16_rep1.log
20	128	hnsw_f16	2	500000	f16	f16	199741692	253240	556744	303504	951028	mem_scale20_dim128_hnsw_f16_rep2.log
20	128	hnsw	1	500000	f32	f32	327741692	253208	682532	429324	702012	mem_scale20_dim128_hnsw_rep1.log
20	128	hnsw	2	500000	f32	f32	327741692	253228	682280	429052	701632	mem_scale20_dim128_hnsw_rep2.log
20	768	hnsw_f16	1	500000	f16	f16	839741692	1503244	2432640	929396	4701976	mem_scale20_dim768_hnsw_f16_rep1.log
20	768	hnsw_f16	2	500000	f16	f16	839741692	1503108	2432320	929212	4701512	mem_scale20_dim768_hnsw_f16_rep2.log
20	768	hnsw	1	500000	f32	f32	1607741692	1503152	3182368	1679216	3201800	mem_scale20_dim768_hnsw_rep1.log
20	768	hnsw	2	500000	f32	f32	1607741692	1503160	3181768	1678608	3201024	mem_scale20_dim768_hnsw_rep2.log
4	128	hnsw_f16	1	100000	f16	f16	43303824	53136	115648	62512	194532	mem_scale4_dim128_hnsw_f16_rep1.log
4	128	hnsw_f16	2	100000	f16	f16	43303824	53256	115788	62532	194432	mem_scale4_dim128_hnsw_f16_rep2.log
4	128	hnsw	1	100000	f32	f32	68903824	53176	140676	87500	144624	mem_scale4_dim128_hnsw_rep1.log
4	128	hnsw	2	100000	f32	f32	68903824	53012	140524	87512	144348	mem_scale4_dim128_hnsw_rep2.log
4	768	hnsw_f16	1	100000	f16	f16	171303824	303112	490408	187296	944232	mem_scale4_dim768_hnsw_f16_rep1.log
4	768	hnsw_f16	2	100000	f16	f16	171303824	303160	490360	187200	944028	mem_scale4_dim768_hnsw_f16_rep2.log
4	768	hnsw	1	100000	f32	f32	324903824	303260	640680	337420	644588	mem_scale4_dim768_hnsw_rep1.log
4	768	hnsw	2	100000	f32	f32	324903824	303064	640332	337268	644104	mem_scale4_dim768_hnsw_rep2.log
