side	pair	kind	working_set	dim	rows	value_ms	ns_per_dot	ratio	status
before	1	current	cache_resident	100	163	0.191	5.85		ok
before	1	current	cache_resident	128	128	0.149	5.83		ok
before	1	current	cache_resident	384	42	0.155	18.49		ok
before	1	current	cache_resident	768	21	0.192	45.81		ok
before	1	current	cache_resident	1536	10	0.218	108.91		ok
before	1	current	arena_scale	100	25000	0.285	11.39		ok
before	1	current	arena_scale	128	25000	0.531	21.24		ok
before	1	current	arena_scale	384	25000	2.243	89.70		ok
before	1	current	arena_scale	768	25000	4.603	184.10		ok
before	1	current	arena_scale	1536	25000	10.214	408.57		ok
after	1	current	cache_resident	100	163	0.560	17.18		ok
after	1	current	cache_resident	128	128	0.553	21.59		ok
after	1	current	cache_resident	384	42	0.599	71.30		ok
after	1	current	cache_resident	768	21	0.290	68.97		ok
after	1	current	cache_resident	1536	10	0.270	135.08		ok
after	1	current	arena_scale	100	25000	0.614	24.56		ok
after	1	current	arena_scale	128	25000	0.871	34.83		ok
after	1	current	arena_scale	384	25000	1.940	77.60		ok
after	1	current	arena_scale	768	25000	4.408	176.33		ok
after	1	current	arena_scale	1536	25000	8.935	357.42		ok
after	1	block_single	cache_resident	128		0.136			ok
after	1	block4	cache_resident	128		0.127		0.935	ok
after	1	block_single	cache_resident	768		0.122			ok
after	1	block4	cache_resident	768		0.121		0.991	ok
after	1	block_single	arena_scale	128		0.741			ok
after	1	block4	arena_scale	128		0.746		1.007	ok
after	1	block_single	arena_scale	768		3.180			ok
after	1	block4	arena_scale	768		3.245		1.020	ok
after	1	block_ref	cache_resident	128		0.149		0.1667	ok
after	1	block_ref	cache_resident	768		0.122		0.1711	ok
after	1	block_ref	arena_scale	128		0.812		0.8783	ok
after	1	block_ref	arena_scale	768		3.339		0.4834	ok
before	2	current	cache_resident	100	163	0.181	5.54		ok
before	2	current	cache_resident	128	128	0.143	5.60		ok
before	2	current	cache_resident	384	42	0.155	18.51		ok
before	2	current	cache_resident	768	21	0.193	45.87		ok
before	2	current	cache_resident	1536	10	0.215	107.51		ok
before	2	current	arena_scale	100	25000	0.350	13.99		ok
before	2	current	arena_scale	128	25000	0.703	28.11		ok
before	2	current	arena_scale	384	25000	2.765	110.58		ok
before	2	current	arena_scale	768	25000	5.100	204.00		ok
before	2	current	arena_scale	1536	25000	8.229	329.15		ok
